100	0
99.625	0.015
98.543	0.094
96.840	0.258
94.568	0.47
91.733	0.719
88.361	1.027
84.51	1.414
80.246	1.881
75.639	2.428
70.763	3.042
65.692	3.709
60.5	4.406
55.259	5.108
50.034	5.786
44.889	6.411
39.887	6.952
35.05	7.381
30.449	7.672
26.112	7.8
22.056	7.74
18.292	7.493
14.832	7.066
11.687	6.478
8.875	5.76
6.417	4.936
4.335	4.037
2.641	3.092
1.355	2.132
0.484	1.2
0.083	0.472
0.021	0.241
0.002	0.096
0.001	-0.041
0.007	-0.105
0.02	-0.166
0.039	-0.222
0.069	-0.274
0.108	-0.327
0.155	-0.381
0.271	-0.487
0.414	-0.595
0.673	-0.759
0.814	-0.837
2.127	-1.382
3.981	-1.91
6.352	-2.408
9.215	-2.875
12.542	-3.317
16.288	-3.743
20.392	-4.154
24.798	-4.541
29.446	-4.892
34.282	-5.189
39.255	-5.424
44.313	-5.588
49.402	-5.676
54.467	-5.681
59.454	-5.6
64.309	-5.428
68.98	-5.158
73.412	-4.77
77.596	-4.226
81.571	-3.546
85.329	-2.818
88.807	-2.112
91.938	-1.475
94.645	-0.935
96.867	-0.504
98.552	-0.199
99.627	-0.041
100	0
